"Ano";"Tipo de Emenda";"Autor da emenda";"Número da emenda";"Possui Apoiador/Solicitante?";"Localidade do gasto (Regionalização)";"Função";"Subfunção";"Programa Orçamentário";"Ação Orçamentária";"Plano Orçamentário";"Código da emenda";"Valor empenhado";"Valor liquidado";"Valor pago";"Valor Restos a Pagar Inscritos";"Valor Restos a Pagar Cancelados";"Valor Restos a Pagar Pagos";
"2022";"Emenda de Comissão";"5017 - COM. FINANCAS E TRIBUTACAO";"0002";"Não";"Nacional";"Administração";"Ensino superior";"0909 - OPERACOES ESPECIAIS: OUTROS ENCARGOS ESPECIAIS";"0556 - APOIO FINANCEIRO A FUNDACAO GETULIO VARGAS";"APOIO FINANCEIRO A FUNDACAO GETULIO VARGAS";"202250170002";"3.560,00";"3.560,00";"0,00";"3.560,00";"0,00";"3.560,00";
"2022";"Emenda de Relator";"8100 - RELATOR GERAL";"0305";"Não";"Nacional";"Assistência social";"Alimentação e nutrição";"5033 - SEGURANCA ALIMENTAR E NUTRICIONAL";"2798 - AQUISICAO E DISTRIBUICAO DE ALIMENTOS DA AGRICULTURA FAMILIAR PARA PROMOCAO DA SEGURANCA ALIMENTAR E NUTRICIONAL";"AQUISICAO E DISTRIBUICAO DE ALIMENTOS DA AGRICULTURA FAMILIAR PARA PROMOCAO DA SEGURANCA ALIMENTAR E NUTRICIONAL - DESPESAS DIVERSAS";"202281000305";"8.037,30";"8.037,30";"8.037,30";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências com Finalidade Definida";"3737 - ORLANDO SILVA";"0006";"Não se aplica";"DIADEMA - SP";"Saúde";"Vigilância epidemiológica";"5023 - VIGILANCIA EM SAUDE";"20YJ - FORTALECIMENTO DO SISTEMA NACIONAL DE VIGILANCIA EM SAUDE E AMBIENTE";"FORTALECIMENTO DO SISTEMA NACIONAL DE VIGILANCIA EM SAUDE - DESPESAS DIVERSAS";"202237370006";"10.675,00";"0,00";"0,00";"10.675,00";"0,00";"10.675,00";
"2022";"Emenda Individual - Transferências com Finalidade Definida";"4060 - LUIZAO GOULART";"0003";"Não se aplica";"RIO BRANCO DO SUL - PR";"Saúde";"Assistência hospitalar e ambulatorial";"5018 - ATENCAO ESPECIALIZADA A SAUDE";"8535 - ESTRUTURACAO DE UNIDADES DE ATENCAO ESPECIALIZADA EM SAUDE";"ESTRUTURACAO DE UNIDADES DE ATENCAO ESPECIALIZADA EM SAUDE - DESPESAS DIVERSAS";"202240600003";"11.268,00";"11.268,00";"11.268,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências com Finalidade Definida";"2925 - CARMEN ZANOTTO";"0004";"Não se aplica";"DISTRITO FEDERAL (UF)";"Educação";"Ensino superior";"5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS";"202229250004";"30.000,00";"28.500,00";"21.500,00";"10.000,00";"0,00";"7.000,00";
"2022";"Emenda Individual - Transferências com Finalidade Definida";"3710 - LUIZIANNE LINS";"0006";"Não se aplica";"DISTRITO FEDERAL (UF)";"Educação";"Ensino superior";"5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS";"202237100006";"30.000,00";"30.000,00";"28.000,00";"2.000,00";"0,00";"2.000,00";
"2022";"Emenda Individual - Transferências com Finalidade Definida";"4110 - JULIO CESAR RIBEIRO";"0019";"Não se aplica";"Exterior";"Relações exteriores";"Relações diplomáticas";"2216 - POLITICA EXTERNA";"20I5 - SERVICOS CONSULARES E DE ASSISTENCIA A BRASILEIROS NO EXTERIOR";"SERVICOS CONSULARES E DE ASSISTENCIA A BRASILEIROS NO EXTERIOR - DESPESAS DIVERSAS";"202241100019";"33.278,12";"33.278,12";"33.278,12";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências com Finalidade Definida";"4112 - LEDA SADALA";"0008";"Não se aplica";"AMAPÁ (UF)";"Saúde";"Assistência aos povos indígenas";"5022 - PROTECAO, PROMOCAO E RECUPERACAO DA SAUDE INDIGENA";"20YP - PROMOCAO, PROTECAO E RECUPERACAO DA SAUDE INDIGENA";"PROMOCAO, PROTECAO E RECUPERACAO DA SAUDE INDIGENA - DESPESAS DIVERSAS";"202241120008";"35.825,00";"0,00";"0,00";"41.655,76";"0,00";"29.994,24";
"2022";"Emenda Individual - Transferências com Finalidade Definida";"4026 - JUNINHO DO PNEU";"0019";"Não se aplica";"CACHOEIRAS DE MACACU - RJ";"Saúde";"Assistência hospitalar e ambulatorial";"5018 - ATENCAO ESPECIALIZADA A SAUDE";"8535 - ESTRUTURACAO DE UNIDADES DE ATENCAO ESPECIALIZADA EM SAUDE";"ESTRUTURACAO DE UNIDADES DE ATENCAO ESPECIALIZADA EM SAUDE - DESPESAS DIVERSAS";"202240260019";"36.675,00";"36.675,00";"36.675,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências com Finalidade Definida";"3946 - CORONEL TADEU";"0005";"Não se aplica";"ARAÇARIGUAMA - SP";"Saúde";"Assistência hospitalar e ambulatorial";"5018 - ATENCAO ESPECIALIZADA A SAUDE";"8933 - ESTRUTURACAO DE SERVICOS DE ATENCAO AS URGENCIAS E EMERGENCIAS NA REDE ASSISTENCIAL";"ESTRUTURACAO DE SERVICOS DE ATENCAO AS URGENCIAS E EMERGENCIAS NA REDE ASSISTENCIAL - DESPESAS DIVERSAS";"202239460005";"38.206,00";"38.206,00";"38.206,00";"0,00";"0,00";"0,00";
